类别,precision,recall,f1-score,support,accuracy,AP,AUC
乌龟,1.0,1.0,1.0,78.0,1.0,0.9996794871794872,0.9999485119967048
仓鼠,0.9431818181818182,0.9540229885057472,0.9485714285714286,87.0,0.9540229885057472,0.9912078676747316,0.998378111557718
兔子,0.9642857142857144,0.9,0.9310344827586208,60.0,0.9,0.9567255515428864,0.9860142118863049
狗,0.9595959595959596,0.9895833333333334,0.9743589743589745,96.0,0.9895833333333334,0.9834490969634776,0.998263888888889
猫,0.967391304347826,0.978021978021978,0.9726775956284152,91.0,0.978021978021978,0.9979764508743776,0.9995921604169027
金鱼,1.0,0.9701492537313432,0.9848484848484848,67.0,0.9701492537313432,0.9973518601024728,0.9995894789314723
鹦鹉,0.979591836734694,0.9896907216494846,0.9846153846153848,97.0,0.9896907216494846,0.9976494324567176,0.9995265049609366
macro avg,0.9734352333065732,0.9687811821774124,0.9708723358259012,576.0,0.9687811821774124,0.9891485352563072,0.9973304098055612
weighted avg,0.9723753298942548,0.9722222222222222,0.972104942334062,576.0,0.972222222222222,0.9903388150928896,0.9978099277002322
